Season;Fruit_vegetable
winter;chestnuts
winter;grapefruit
winter;lemons
winter;oranges
winter;tangerines
winter;kale
winter;leeks
winter;radicchio
winter;radishes
winter;rutabaga
winter;turnips
spring;apricots
spring;avocado
spring;mango
spring;pineapple
spring;rhubarb
spring;strawberries
spring;artichoke
spring;asparagus
spring;carrots
spring;celeriac
spring;chives
spring;collards
spring;fava beans
spring;fennel
spring;fiddlehead ferns
spring;morels
spring;mustard greens
summer;blackberries
summer;blueberries
summer;nectarines
summer;peaches
summer;plums
summer;raspberries
summer;tomatoes
summer;watermelon
summer;broccoli
summer;cucumber
summer;green beans
summer;zucchini
autumn;apples
autumn;cranberries
autumn;figs
autumn;grapes
autumn;pears
autumn;pomegranate
autumn;quince
autumn;butternut squash
autumn;cauliflower
autumn;garlic
autumn;ginger
autumn;mushrooms
autumn;potatoes
autumn;pumpkin
autumn;sweet potatoes
autumn;swiss chard
